127.0.0.1 - - [10/Jan/2024:22:15:29 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:15:30 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:42:36 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:42:36 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:42:36 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:47:11 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:47:11 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:47:11 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:48:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:48:41 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:48:41 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:48:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:48:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:48:43 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:50:07 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:50:07 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:50:07 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:56:47 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:56:47 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:56:47 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:56:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:56:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:59:44 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1672
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:59:44 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:59:44 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:22:59:48 +0900] "GET /BBS/join.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Jan/2024:23:17:25 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [10/Jan/2024:23:17:25 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:23:17:25 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:23:17:33 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2024:23:31:03 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2024:23:32:56 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [10/Jan/2024:23:32:56 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:23:32:56 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 200 121200
